metric,value
Benchmark datetime,2025-06-14 09:41:58
Model benchmarked,TechxGenus/DeepSeek-V2-Lite-AWQ
Total prompts,200
Request rate (rps),128
TTFT threshold (s),999
TPOT threshold (s/token),999
Datacenter location,"Council Bluffs, Iowa"
PUE used,1.110
RAM energy (kWh),0.000169
CPU energy (kWh),0.000054
GPU energy (kWh),0.000612
Raw IT energy before PUE (kWh),0.000752
Total energy after PUE (kWh),0.000835
Carbon intensity used (kgCO2eq/kWh),0.430000
Total output tokens,39086
Total amount of emissions (kgCO2eq),0.0003591425
Total amount of functional‐unit tokens,39086
Carbon Emission per Functional Unit (kgCO2eq/FU),0.00000000918852146257
Energy Consumption per Functional Unit (kWh/FU),0.00000002136865456411
